time,Ingress,Occupancy,tickets_sold,percentage,zone_central,zone_east,zone_west,zone_central_percentage,zone_east_percentage,zone_west_percentage
1723470300000,40,40,6000,1%,16,10,14,0.27%,0.17%,0.23%
1723470360000,23,63,6000,1%,25,16,22,0.42%,0.27%,0.37%
1723470420000,64,127,6000,2%,51,32,44,0.85%,0.53%,0.73%
1723470480000,68,195,6000,3%,78,49,68,1.30%,0.82%,1.13%
1723470540000,73,268,6000,4%,107,67,94,1.78%,1.12%,1.57%
1723470600000,74,342,6000,6%,137,86,120,2.28%,1.43%,2.00%
1723470660000,76,418,6000,7%,167,105,146,2.78%,1.75%,2.43%
1723470720000,77,495,6000,8%,198,124,173,3.30%,2.07%,2.88%
1723470780000,80,575,6000,10%,230,144,201,3.83%,2.40%,3.35%
1723470840000,83,658,6000,11%,263,165,230,4.38%,2.75%,3.83%
1723470900000,84,742,6000,12%,297,186,260,4.95%,3.10%,4.33%
1723470960000,87,829,6000,14%,332,207,290,5.53%,3.45%,4.83%
1723471020000,89,918,6000,15%,367,230,321,6.12%,3.83%,5.35%
1723471080000,90,1008,6000,17%,403,252,353,6.72%,4.20%,5.88%
1723471140000,92,1100,6000,18%,440,275,385,7.33%,4.58%,6.42%
1723471200000,93,1193,6000,20%,477,298,418,7.95%,4.97%,6.97%
1723471260000,95,1288,6000,21%,515,322,451,8.58%,5.37%,7.52%
1723471320000,96,1384,6000,23%,554,346,484,9.23%,5.77%,8.07%
1723471380000,97,1481,6000,25%,592,370,518,9.87%,6.17%,8.63%
1723471440000,99,1580,6000,26%,632,395,553,10.53%,6.58%,9.22%
1723471500000,100,1680,6000,28%,672,420,588,11.20%,7.00%,9.80%
1723471560000,102,1782,6000,30%,713,446,624,11.88%,7.43%,10.40%
1723471620000,103,1885,6000,31%,754,471,660,12.57%,7.85%,11.00%
1723471680000,105,1990,6000,33%,796,498,697,13.27%,8.30%,11.62%
1723471740000,107,2097,6000,35%,839,524,734,13.98%,8.73%,12.23%
1723471800000,108,2205,6000,37%,882,551,772,14.70%,9.18%,12.87%
1723471860000,109,2314,6000,39%,926,579,810,15.43%,9.65%,13.50%
1723471920000,111,2425,6000,40%,970,606,849,16.17%,10.10%,14.15%
1723471980000,112,2537,6000,42%,1015,634,888,16.92%,10.57%,14.80%
1723472040000,114,2651,6000,44%,1060,663,928,17.67%,11.05%,15.47%
1723472100000,115,2766,6000,46%,1106,692,968,18.43%,11.53%,16.13%
1723472160000,116,2882,6000,48%,1153,721,1009,19.22%,12.02%,16.82%
1723472220000,118,3000,6000,50%,1200,750,1050,20.00%,12.50%,17.50%
1723472280000,119,3119,6000,52%,1248,780,1092,20.80%,13.00%,18.20%
1723472340000,121,3240,6000,54%,1296,810,1134,21.60%,13.50%,18.90%
1723472400000,122,3362,6000,56%,1345,841,1177,22.42%,14.02%,19.62%
1723472460000,123,3485,6000,58%,1394,871,1220,23.23%,14.52%,20.33%
1723472520000,125,3610,6000,60%,1444,903,1264,24.07%,15.05%,21.07%
1723472580000,108,3718,6000,62%,1487,930,1301,24.78%,15.50%,21.68%
1723472640000,74,3793,6000,63%,1517,948,1327,25.28%,15.80%,22.12%
1723472700000,76,3869,6000,64%,1547,967,1354,25.78%,16.12%,22.57%
1723472760000,77,3946,6000,66%,1578,986,1381,26.30%,16.43%,23.02%
1723472820000,79,4025,6000,67%,1610,1006,1409,26.83%,16.77%,23.48%
1723472880000,80,4105,6000,68%,1642,1026,1437,27.37%,17.10%,23.95%
1723472940000,82,4187,6000,70%,1675,1047,1466,27.92%,17.45%,24.43%
